County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
sumter county,alabama,3226,55,0.24656068480586976,0.00420360745949251,13084,14739,36.0,13.4
talladega county,alabama,28816,402,0.35624567302937393,0.004969834833349817,80888,21382,19.3,10.0
tallapoosa county,alabama,14744,255,0.36176268524879773,0.006256747472764747,40756,22430,21.2,9.2
tuscaloosa county,alabama,72031,858,0.3523607795562165,0.004197158846319414,204424,24895,17.3,6.7
walker county,alabama,24499,482,0.37733146456789934,0.007423722026275664,64927,21217,21.5,10.0
washington county,alabama,4422,61,0.2640630598351845,0.003642660933954377,16746,23239,22.0,11.0
wilcox county,alabama,3721,48,0.3407821229050279,0.0043960069603443536,10919,15774,31.9,17.2
winston county,alabama,9528,143,0.39753004005340453,0.005966288384512684,23968,20580,18.7,9.4
aleutians east borough,alaska,796,2,0.23846614739364888,0.0005991611743559018,3338,31254,16.7,2.4
aleutians west census area,alaska,1167,3,0.20176348547717843,0.0005186721991701245,5784,35998,7.5,1.9
bethel census area,alaska,13359,48,0.7439438659018767,0.002673052291585454,17957,18654,27.0,19.3
bristol bay borough,alaska,608,2,0.6630316248636859,0.0021810250817884407,917,42002,7.1,6.8
denali borough,alaska,477,1,0.20712114633087278,0.0004342162396873643,2303,33084,15.5,1.9
dillingham census area,alaska,2269,13,0.4561720948934459,0.002613590671491757,4974,24647,16.6,11.4
fairbanks north star borough,alaska,32247,171,0.32237006527976325,0.0017094700642800733,100031,35328,7.7,8.0
haines borough,alaska,791,2,0.3117855735120221,0.0007883326763894363,2537,35907,8.4,2.7
hoonah-angoon census area,alaska,0,0,0.0,0.0,2146,33704,11.1,11.7
kenai peninsula borough,alaska,21340,125,0.36817860285364296,0.0021566225565466434,57961,33336,11.0,8.6
ketchikan gateway borough,alaska,5013,27,0.3647144416151328,0.00196435067297199,13745,33771,10.6,7.0
kodiak island borough,alaska,5702,13,0.4139984026718943,0.0009438756988310463,13773,32625,9.3,5.3
kusilvak census area,alaska,1508,4,0.1855086726534629,0.0004920654447041457,8129,11693,39.1,28.8
lake and peninsula borough,alaska,121,0,0.0930053804765565,0.0,1301,23434,16.5,13.2
matanuska-susitna borough,alaska,40348,276,0.39895189598062,0.0027290255598951896,101135,30409,9.8,9.8
nome census area,alaska,7672,7,0.7773837268213598,0.0007092917215523356,9869,20952,24.9,16.6
north slope borough,alaska,4975,16,0.5098903351439992,0.0016398483140309522,9757,48777,10.2,9.5
northwest arctic borough,alaska,5871,22,0.7609850939727802,0.002851587815942968,7715,21879,25.3,20.1
petersburg borough,alaska,179,2,0.05465648854961832,0.0006106870229007634,3275,35044,7.8,4.8
southeast fairbanks census area,alaska,2316,21,0.33618812599796777,0.0030483379300333866,6889,31051,13.9,12.5
valdez-cordova census area,alaska,2171,23,0.2300031783027863,0.002436698802839284,9439,37935,7.4,7.5
yukon-koyukuk census area,alaska,1802,16,0.33046029708417385,0.0029341646799926646,5453,21057,25.5,19.7
apache county,arizona,38277,608,0.5345800396636965,0.00849138292226474,71602,13865,35.9,14.1
cochise county,arizona,39794,564,0.3145372917259477,0.004457934174333681,126516,24896,18.1,7.6
coconino county,arizona,53996,472,0.3894719379106889,0.0034045254221395133,138639,25722,21.0,8.3
gila county,arizona,21779,379,0.4098033681437576,0.007131432872330417,53145,22433,21.9,11.7
graham county,arizona,14277,176,0.3787002652519894,0.0046684350132626,37700,17874,21.4,12.2
greenlee county,arizona,2810,32,0.29995730145175065,0.0034158838599487617,9368,24935,11.5,7.6
la paz county,arizona,6161,143,0.3008741514870342,0.006983444840552815,20477,21707,19.7,9.5
maricopa county,arizona,1552756,17103,0.3736627665352505,0.004115749220130136,4155501,30186,15.7,6.0
mohave county,arizona,68398,1435,0.3341524541870429,0.007010567147554118,204691,23527,18.6,10.1
navajo county,arizona,49652,902,0.4601582917832848,0.00835943726714982,107902,17685,29.1,16.3
pima county,arizona,325955,3803,0.32360658699815437,0.00377560046740802,1007257,27323,18.3,8.4
pinal county,arizona,158952,1645,0.39195437161097507,0.004056349975464631,405537,22944,15.5,7.8
santa cruz county,arizona,20112,228,0.43384097674619265,0.004918244963113163,46358,19482,21.8,8.7
yavapai county,arizona,61534,1195,0.27846967036547615,0.005407924985971074,220972,27504,14.7,7.3
yuma county,arizona,72217,1167,0.3535179483162898,0.0057127192445699795,204281,20600,19.7,10.9
arkansas county,arkansas,7013,95,0.38213818657367044,0.005176547515257193,18352,23766,20.7,8.5
ashley county,arkansas,6255,83,0.3011410139136296,0.003995955900052958,20771,20703,21.3,9.9
baxter county,arkansas,10739,284,0.26133404716131703,0.006911152751076826,41093,24737,12.6,5.8
benton county,arkansas,77493,1006,0.30772804708068763,0.003994869412245903,251823,30611,10.5,3.1
boone county,arkansas,11304,204,0.3037729764592067,0.005482102547565301,37212,22288,15.8,6.1
bradley county,arkansas,3597,57,0.32717846097871567,0.0051846461706385304,10994,21575,26.4,9.4
calhoun county,arkansas,1197,15,0.23045822102425875,0.002887947631882942,5194,22866,19.6,5.7
carroll county,arkansas,7293,123,0.2625080987689871,0.004427327046288964,27782,21754,15.7,5.1
chicot county,arkansas,3125,65,0.2838844476744186,0.005904796511627907,11008,20560,29.4,10.1
clark county,arkansas,6426,92,0.28566348077350523,0.004089797732829518,22495,20382,21.5,4.5
clay county,arkansas,5154,102,0.339302172481896,0.0067149440421329825,15190,19171,22.3,5.3
cleburne county,arkansas,8065,148,0.31800796498560785,0.005835732029494105,25361,26189,15.4,5.5
cleveland county,arkansas,2684,42,0.32213154104656744,0.005040806529044647,8332,23171,19.3,6.6
columbia county,arkansas,6797,106,0.2833027675891964,0.004418139379793264,23992,20296,25.1,9.5
conway county,arkansas,6618,84,0.3158346855015749,0.004008781139639209,20954,22365,18.5,7.1
craighead county,arkansas,47435,388,0.45502944957120656,0.0037219653511885347,104246,25594,18.3,6.0
crawford county,arkansas,18667,295,0.3005038716012814,0.004748949596741737,62119,22104,16.6,6.2
crittenden county,arkansas,16717,246,0.33923860546288404,0.00499208571776452,49278,20721,23.5,8.4
cross county,arkansas,5761,106,0.33564437194127245,0.006175716616173386,17164,22894,18.0,6.8
dallas county,arkansas,2070,41,0.27290705339485827,0.005405405405405406,7585,18309,13.2,6.4
desha county,arkansas,3659,45,0.30254671738051925,0.0037208533156937325,12094,18187,32.6,12.2
drew county,arkansas,5645,84,0.30316863587540277,0.004511278195488722,18620,20300,24.4,9.0
faulkner county,arkansas,43060,360,0.3550403192559489,0.0029682887815174553,121282,25240,16.3,5.1
franklin county,arkansas,4494,83,0.2524293658372184,0.004662135595124417,17803,19988,21.9,6.6
fulton county,arkansas,3112,99,0.25736023817399933,0.008187231227257692,12092,19674,23.0,6.9
garland county,arkansas,27112,583,0.2766700002040941,0.005949343837377798,97994,25690,19.1,9.0
grant county,arkansas,5258,66,0.29088293870325294,0.0036512502766098695,18076,25814,14.4,8.7
greene county,arkansas,19820,201,0.4484467271534267,0.004547819987781976,44197,22094,15.9,7.0
hempstead county,arkansas,5645,83,0.2548072582829286,0.003746501760404442,22154,18817,25.3,6.4
hot spring county,arkansas,13067,162,0.39029271206690563,0.004838709677419355,33480,20868,15.8,6.2
